epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1029.58,1.21973,1.98267,0.01276,0.53909,0.48245,0.48327,0.33952,1.22142,1.67407,0.01659,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937
31,1063.37,1.23069,1.93868,0.01285,0.51036,0.49458,0.48396,0.34557,1.21613,1.65256,0.01642,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683
32,1097.49,1.23015,1.92846,0.01298,0.51635,0.49687,0.48827,0.34903,1.23657,1.65115,0.01677,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298
33,1131.53,1.21209,1.87357,0.01276,0.52607,0.50695,0.52036,0.36984,1.23662,1.57205,0.01669,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784
34,1164.98,1.22471,1.85336,0.01287,0.50643,0.53662,0.51023,0.36064,1.22771,1.58875,0.01664,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142
35,1198.76,1.22476,1.7833,0.01274,0.51385,0.51019,0.50271,0.36207,1.2332,1.59812,0.01662,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374
36,1231.51,1.22196,1.76138,0.01234,0.46683,0.55211,0.51599,0.37192,1.23191,1.56586,0.01669,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048
37,1264.9,1.23533,1.7645,0.01274,0.52493,0.54143,0.5314,0.37754,1.21564,1.58059,0.01639,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
38,1298.52,1.20838,1.71209,0.01257,0.56117,0.49976,0.52346,0.37584,1.22652,1.57761,0.01647,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325
39,1332.54,1.20925,1.70285,0.01282,0.53813,0.49976,0.5083,0.36316,1.23567,1.59535,0.01682,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065
40,1366.21,1.22425,1.66248,0.0125,0.56321,0.50154,0.52077,0.36681,1.22905,1.56934,0.01651,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687
41,1399.54,1.21441,1.64566,0.01261,0.50242,0.51794,0.50747,0.36055,1.24488,1.60041,0.01688,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192
42,1433.51,1.21994,1.59893,0.0122,0.52799,0.53664,0.51729,0.36423,1.2287,1.58399,0.01673,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581
43,1466.19,1.20397,1.56555,0.01231,0.55057,0.48644,0.50263,0.35848,1.23575,1.62473,0.01684,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857
44,1499.61,1.20671,1.55247,0.01255,0.51601,0.52944,0.5202,0.36432,1.24148,1.5777,0.01692,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702
45,1533.84,1.22138,1.5415,0.01251,0.55071,0.53401,0.54709,0.38897,1.22973,1.5452,0.01671,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073
