Model,Device,Image,IoU,cx_offset,cy_offset,w_offset,h_offset
yolov8m_FP16,CPU,ds2_powderymildew_on_squash_jpg.rf.2164419c446bc31ce83c33faa7c7a137.jpg,1.0000,0.00,0.00,0.00,0.00
yolov8m_FP16,CPU,ds1_IMG_0232_JPG.rf.5a3505b99c3a88145e1c842f074c14e4.jpg,0.9998,0.00,0.00,0.00,0.00
yolov8m_FP16,CPU,ds2_80104747_jpg.rf.1defc877a06f90e8eff769dff348122c.jpg,1.0000,0.00,0.00,0.01,0.00
yolov8m_FP16,CPU,ds2_DSC_0183_JPG_jpg.rf.c946a9ab84c070657e82dacd4aef8b0f.jpg,0.9999,0.01,0.02,0.00,0.04
yolov8m_FP16,CPU,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9999,0.00,0.00,0.03,0.01
yolov8m_FP16,CPU,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9999,0.00,0.00,0.01,0.00
yolov8m_FP16,CPU,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9999,0.00,0.01,0.01,0.01
yolov8m_FP16,CPU,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9999,0.00,0.00,0.01,0.00
yolov8m_FP16,CPU,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9999,0.00,0.00,0.00,0.00
yolov8m_FP16,CPU,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9999,0.01,0.00,0.01,0.01
yolov8m_FP16,CPU,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9996,0.03,0.02,0.09,0.07
yolov8m_FP16,CPU,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9999,0.00,0.01,0.00,0.00
yolov8m_FP16,CPU,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.9988,0.01,0.04,0.02,0.08
