epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14672,1.09483,1.30134,1.33422,0.54386,0.5438,0.55757,0.39144,1.25978,1.52845,1.50984,0.000878581,0.000878581,0.000878581
43,15010.8,1.09266,1.29146,1.31816,0.5541,0.553,0.57133,0.39375,1.24923,1.45475,1.50751,0.000872857,0.000872857,0.000872857
44,15417.8,1.08752,1.28797,1.3255,0.52719,0.52929,0.54431,0.37442,1.25496,1.55792,1.52424,0.00086702,0.00086702,0.00086702
45,15738.9,1.0774,1.27811,1.31645,0.56433,0.52571,0.5582,0.39007,1.25141,1.54091,1.52152,0.000861073,0.000861073,0.000861073
46,16069.9,1.06177,1.24626,1.31331,0.50731,0.60654,0.56183,0.38647,1.25598,1.44791,1.51112,0.000855018,0.000855018,0.000855018
47,16378.4,1.05666,1.24985,1.31299,0.5225,0.58616,0.57283,0.39762,1.25253,1.46444,1.49029,0.000848856,0.000848856,0.000848856
48,16709.8,1.04636,1.21713,1.30481,0.53402,0.58328,0.57148,0.39811,1.23961,1.47206,1.50374,0.000842589,0.000842589,0.000842589
49,17050.2,1.04433,1.19661,1.30228,0.54024,0.56806,0.57439,0.39376,1.25322,1.49062,1.50383,0.00083622,0.00083622,0.00083622
50,17383.9,1.04214,1.19423,1.29669,0.54518,0.53749,0.55061,0.38036,1.24002,1.49777,1.49307,0.000829749,0.000829749,0.000829749
51,17765,1.04004,1.18207,1.3005,0.54942,0.54287,0.56189,0.39249,1.23758,1.49605,1.48347,0.00082318,0.00082318,0.00082318
52,18167.4,1.02161,1.16336,1.28663,0.5552,0.59032,0.57236,0.3998,1.22646,1.49457,1.48152,0.000816514,0.000816514,0.000816514
53,18544.2,1.01646,1.1218,1.27078,0.54734,0.59098,0.58067,0.4089,1.24448,1.45415,1.49662,0.000809752,0.000809752,0.000809752
54,18953.9,1.01733,1.133,1.28073,0.59192,0.55047,0.56757,0.39105,1.24782,1.48966,1.49728,0.000802898,0.000802898,0.000802898
55,19352.4,1.01819,1.1385,1.28652,0.5464,0.56914,0.55763,0.38369,1.24688,1.49965,1.50031,0.000795954,0.000795954,0.000795954
56,19625.8,1.02167,1.12514,1.28592,0.57438,0.58193,0.60534,0.41508,1.24081,1.44517,1.49076,0.00078892,0.00078892,0.00078892
57,19975.5,0.9918,1.08244,1.2661,0.58577,0.56393,0.5814,0.40304,1.25639,1.50406,1.51246,0.0007818,0.0007818,0.0007818
58,20269.7,0.98014,1.0569,1.25448,0.58278,0.56076,0.59059,0.41128,1.24537,1.44161,1.4915,0.000774596,0.000774596,0.000774596
59,20590.1,1.0106,1.07953,1.27563,0.56393,0.57031,0.58468,0.40552,1.26104,1.46726,1.52091,0.00076731,0.00076731,0.00076731
60,20932.2,0.99244,1.04925,1.26827,0.58335,0.58113,0.59392,0.40953,1.25235,1.43619,1.51155,0.000759944,0.000759944,0.000759944
61,21253.4,0.98879,1.04221,1.26141,0.53786,0.59665,0.58032,0.40379,1.2473,1.44185,1.50654,0.0007525,0.0007525,0.0007525
62,21615.8,0.97587,1.02244,1.25624,0.59062,0.58799,0.59643,0.41533,1.23406,1.42444,1.49194,0.000744981,0.000744981,0.000744981
63,21928.1,0.97084,1.00545,1.25067,0.60241,0.57037,0.582,0.40247,1.24319,1.50791,1.50333,0.000737388,0.000737388,0.000737388
64,22310,0.97002,0.99706,1.25131,0.5948,0.55406,0.57424,0.40061,1.22141,1.46974,1.48368,0.000729725,0.000729725,0.000729725
65,22733.7,0.94765,0.96048,1.23398,0.56286,0.58225,0.57312,0.39829,1.27046,1.4625,1.52677,0.000721994,0.000721994,0.000721994
66,23075.2,0.95027,0.9591,1.22629,0.53608,0.59045,0.57637,0.39736,1.25594,1.49345,1.51421,0.000714196,0.000714196,0.000714196
67,23486.5,0.9473,0.97124,1.23382,0.54257,0.58136,0.5781,0.40109,1.25234,1.48407,1.50132,0.000706335,0.000706335,0.000706335
68,23837.5,0.95603,0.94918,1.2351,0.54001,0.56569,0.57598,0.39832,1.26353,1.45984,1.5089,0.000698412,0.000698412,0.000698412
69,24167.6,0.93739,0.92579,1.21209,0.53301,0.58603,0.57016,0.39516,1.25477,1.52695,1.51103,0.00069043,0.00069043,0.00069043
70,24450.1,0.94181,0.92179,1.21817,0.58918,0.58675,0.58352,0.40367,1.25577,1.45581,1.52117,0.000682392,0.000682392,0.000682392
71,24817.6,0.93341,0.92595,1.21721,0.55111,0.56873,0.58368,0.41075,1.23332,1.45579,1.51401,0.0006743,0.0006743,0.0006743
72,25210.8,0.91546,0.88714,1.20721,0.6035,0.57247,0.59023,0.40871,1.24955,1.49642,1.51411,0.000666156,0.000666156,0.000666156
73,25521.6,0.92469,0.89758,1.20755,0.56127,0.59,0.57208,0.39833,1.25121,1.51034,1.49775,0.000657963,0.000657963,0.000657963
74,25836.6,0.90011,0.87851,1.19804,0.5773,0.5727,0.57623,0.39614,1.24321,1.49481,1.51139,0.000649724,0.000649724,0.000649724
