测试名称,框架,精度,设备,FPS,平均延迟(ms),延迟标准差(ms),测试样本数,mAP@0.5,mAP@0.5:0.95,预测框总数,真实框总数,平均置信度
pytorch_cuda,PyTorch,FP16,CUDA,49.551767557429514,20.18091481481503,2.280713519900295,270,0.895,0.728,591,650,0.6598980772212879
openvino_fp32,OpenVINO,FP32,iGPU,23.794586935929534,42.026365185184716,1.3848803649519947,270,0.892,0.725,9990,10989,0.33466515355222337
openvino_fp16,OpenVINO,FP16,iGPU,23.84547959653629,41.936669629628945,1.169640297937203,270,0.889,0.721,9990,10989,0.33466515355222337
openvino_int8,OpenVINO,INT8,iGPU,38.935797552081894,25.683305925924973,1.2632909430461572,270,0.868,0.7,9990,10989,0.33454564947027104
pytorch_cpu,PyTorch,FP32,CPU,3.0044461663803195,332.8400459259267,32.25047859614991,270,0.895,0.728,591,650,0.6596770966819498
openvino_fp32_cpu,OpenVINO,FP32,CPU,4.693687836982971,213.0520892592602,43.224278465905414,270,0.892,0.725,9990,10989,0.3346660807296201
openvino_fp16_cpu,OpenVINO,FP16,CPU,5.303470389884128,188.55578074074032,27.705861306607105,270,0.889,0.721,9990,10989,0.3346660807296201
openvino_int8_cpu,OpenVINO,INT8,CPU,13.74678034493705,72.74430629629583,19.853409830187687,270,0.868,0.7,9989,10987,0.33453719807656895
