epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1987.86,0.89556,0.78067,1.17068,0.61378,0.57378,0.59747,0.41762,1.2097,1.52973,1.44779,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937,0.00281381,0.000937937
31,2048.65,0.88224,0.77039,1.15402,0.57899,0.58364,0.59698,0.41915,1.20941,1.51784,1.43232,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683,0.00280105,0.000933683
32,2109.54,0.88725,0.7829,1.16298,0.62481,0.55022,0.59472,0.42085,1.21137,1.52431,1.43997,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298,0.00278789,0.000929298
33,2170.99,0.86595,0.75056,1.14705,0.62111,0.57108,0.60185,0.42821,1.20828,1.50226,1.42929,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784,0.00277435,0.000924784
34,2231.93,0.86653,0.75026,1.14701,0.6364,0.55153,0.58902,0.41424,1.22332,1.58168,1.45561,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142
35,2293.15,0.85893,0.72883,1.14007,0.58311,0.57564,0.58606,0.4163,1.21007,1.54068,1.46141,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374,0.00274612,0.000915374
36,2355.08,0.8485,0.71236,1.13479,0.5931,0.59851,0.59849,0.42387,1.23046,1.55409,1.47648,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048,0.00273144,0.00091048
37,2422.04,0.8568,0.71826,1.14418,0.6051,0.5623,0.5951,0.41693,1.21956,1.57726,1.46138,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
38,2489.56,0.83212,0.69981,1.1326,0.59964,0.57679,0.59266,0.42,1.21539,1.57675,1.48242,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325,0.00270097,0.000900325
39,2567.06,0.83093,0.70145,1.12864,0.6096,0.55291,0.59843,0.42238,1.23517,1.57366,1.46364,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065,0.0026852,0.000895065
40,2633.97,0.83276,0.68643,1.12257,0.63794,0.54316,0.60004,0.41847,1.23486,1.58777,1.48137,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687
41,2698.97,0.81582,0.68019,1.11757,0.59305,0.58607,0.597,0.41714,1.23738,1.60003,1.47833,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192,0.00265258,0.000884192
42,2761.26,0.8082,0.66043,1.11073,0.55189,0.59967,0.59508,0.41604,1.2366,1.57385,1.47887,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581,0.00263574,0.000878581
43,2824.33,0.80599,0.65022,1.10959,0.61538,0.56211,0.59489,0.41848,1.2305,1.63499,1.48749,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857
44,2886.4,0.80107,0.66098,1.11038,0.59338,0.59756,0.59136,0.40899,1.24272,1.57432,1.49042,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702,0.00260106,0.00086702
45,2948.8,0.80227,0.65754,1.10795,0.57104,0.57403,0.57276,0.39356,1.2558,1.62502,1.51378,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073,0.00258322,0.000861073
46,3012.18,0.77137,0.63501,1.09728,0.62515,0.5163,0.56628,0.39491,1.23309,1.64415,1.50871,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018
47,3077.25,0.78263,0.63605,1.1039,0.60027,0.55955,0.5818,0.40633,1.23304,1.60897,1.47713,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856,0.00254657,0.000848856
48,3138.76,0.78968,0.62889,1.09008,0.61846,0.56887,0.5877,0.41609,1.25569,1.68981,1.50979,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589,0.00252777,0.000842589
49,3201.02,0.7645,0.61219,1.08631,0.62229,0.54353,0.57665,0.40254,1.23535,1.57481,1.48842,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622
50,3261.39,0.77841,0.61142,1.0834,0.58871,0.54924,0.58557,0.41436,1.23651,1.58929,1.4738,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749,0.00248925,0.000829749
51,3321.97,0.75467,0.61977,1.08625,0.58919,0.54397,0.55719,0.38998,1.24549,1.72027,1.49391,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318,0.00246954,0.00082318
52,3382.35,0.75608,0.5993,1.0771,0.60047,0.51466,0.56391,0.39282,1.24799,1.63402,1.50841,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514
53,3443.15,0.75189,0.60762,1.07981,0.57283,0.56677,0.58094,0.40798,1.23197,1.68107,1.49768,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752,0.00242926,0.000809752
54,3503.78,0.73845,0.59066,1.07282,0.6335,0.53979,0.58862,0.41597,1.24736,1.67302,1.51384,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898,0.0024087,0.000802898
55,3565.07,0.75139,0.59479,1.07591,0.62532,0.53802,0.57849,0.40966,1.2404,1.68903,1.49886,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
56,3625.54,0.72748,0.57799,1.07668,0.60071,0.56485,0.5845,0.41337,1.2445,1.67633,1.5085,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892,0.00236676,0.00078892
57,3686.13,0.72495,0.57784,1.06241,0.61162,0.56739,0.59486,0.41813,1.25474,1.61695,1.52789,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818,0.0023454,0.0007818
58,3746.67,0.72921,0.574,1.06836,0.62311,0.54135,0.58798,0.41405,1.25416,1.67067,1.50721,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596,0.00232379,0.000774596
59,3807.26,0.71575,0.56624,1.05878,0.58533,0.56493,0.57813,0.4126,1.24713,1.71643,1.51507,0.00230193,0.00076731,0.00230193,0.00076731,0.00230193,0.00076731,0.00230193,0.00076731
60,3867.73,0.72923,0.58131,1.06287,0.58708,0.56724,0.57572,0.40805,1.2468,1.7195,1.50867,0.00227983,0.000759944,0.00227983,0.000759944,0.00227983,0.000759944,0.00227983,0.000759944
61,3928.33,0.71307,0.56056,1.05966,0.6398,0.54202,0.58134,0.40938,1.24877,1.70723,1.51092,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
62,3988.78,0.71013,0.55675,1.05494,0.57682,0.57093,0.57676,0.40874,1.23825,1.67001,1.51499,0.00223494,0.000744981,0.00223494,0.000744981,0.00223494,0.000744981,0.00223494,0.000744981
63,4049.34,0.70055,0.54633,1.05269,0.65303,0.55011,0.59916,0.42323,1.24609,1.65079,1.52369,0.00221217,0.000737388,0.00221217,0.000737388,0.00221217,0.000737388,0.00221217,0.000737388
64,4109.92,0.71031,0.55102,1.05517,0.63158,0.53038,0.58403,0.41527,1.26459,1.73019,1.53638,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725
65,4170.64,0.696,0.53499,1.04585,0.55409,0.59236,0.59642,0.42366,1.24055,1.69452,1.50179,0.00216598,0.000721994,0.00216598,0.000721994,0.00216598,0.000721994,0.00216598,0.000721994
66,4231.37,0.68943,0.53232,1.04548,0.64687,0.5317,0.59164,0.41813,1.25493,1.71248,1.50991,0.00214259,0.000714196,0.00214259,0.000714196,0.00214259,0.000714196,0.00214259,0.000714196
67,4292.11,0.68525,0.53908,1.04632,0.61589,0.5402,0.59465,0.4168,1.26047,1.69011,1.52566,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335
68,4352.69,0.68749,0.52763,1.04078,0.6056,0.5595,0.58943,0.41289,1.25124,1.69488,1.50148,0.00209524,0.000698412,0.00209524,0.000698412,0.00209524,0.000698412,0.00209524,0.000698412
69,4413.32,0.68192,0.5189,1.03239,0.6364,0.53939,0.59448,0.41803,1.2436,1.68608,1.49004,0.00207129,0.00069043,0.00207129,0.00069043,0.00207129,0.00069043,0.00207129,0.00069043
70,4473.84,0.6807,0.52497,1.04093,0.60366,0.55256,0.59209,0.4198,1.2563,1.75269,1.54906,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392,0.00204718,0.000682392
71,4535.54,0.67694,0.52136,1.03791,0.62202,0.53892,0.57657,0.40747,1.26452,1.8099,1.54393,0.0020229,0.0006743,0.0020229,0.0006743,0.0020229,0.0006743,0.0020229,0.0006743
72,4597.15,0.67343,0.51646,1.03249,0.61282,0.5539,0.58766,0.41843,1.24164,1.7219,1.51211,0.00199847,0.000666156,0.00199847,0.000666156,0.00199847,0.000666156,0.00199847,0.000666156
73,4658.19,0.65517,0.50678,1.02459,0.5932,0.57416,0.58426,0.41243,1.24537,1.75901,1.536,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963
74,4721.23,0.66344,0.50577,1.0249,0.58049,0.5645,0.58799,0.42105,1.23645,1.7782,1.51018,0.00194917,0.000649724,0.00194917,0.000649724,0.00194917,0.000649724,0.00194917,0.000649724
75,4783.05,0.65849,0.49345,1.0239,0.66443,0.54341,0.59907,0.42644,1.24842,1.72974,1.5178,0.00192432,0.00064144,0.00192432,0.00064144,0.00192432,0.00064144,0.00192432,0.00064144
76,4850.47,0.65281,0.4968,1.01905,0.69186,0.51238,0.59797,0.42123,1.24797,1.74963,1.51068,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115,0.00189935,0.000633115
77,4937.86,0.64556,0.49265,1.01426,0.64928,0.53883,0.58086,0.41605,1.24797,1.80313,1.52417,0.00187425,0.000624751,0.00187425,0.000624751,0.00187425,0.000624751,0.00187425,0.000624751
78,5050.77,0.6422,0.49347,1.01366,0.63764,0.53196,0.58471,0.41317,1.23725,1.72014,1.50925,0.00184905,0.000616351,0.00184905,0.000616351,0.00184905,0.000616351,0.00184905,0.000616351
79,5165.94,0.64827,0.48154,1.0133,0.63901,0.55269,0.58789,0.42091,1.24257,1.82667,1.52053,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916
